Schedule of Equipment Rates | FEMA.gov

# Schedule of Equipment Rates 

The rates on this Schedule of Equipment Rates are for applicant-owned equipment in good mechanical condition, complete with all required attachments. Each rate covers all costs eligible under the Robert T. Stafford Disaster Relief and Emergency Assistance Act, 42 U.S.C. § 5121, et seq., for ownership and operation of equipment, including depreciation, overhead, all maintenance, field repairs, fuel, lubricants, tires, OSHA equipment and other costs incidental to operation. Standby equipment costs are not eligible.

Equipment must be in actual operation performing eligible work in order for reimbursement to be eligible. Labor costs of the operator are not included in the rates and should be approved separately from equipment costs.

Information regarding the use of the Schedule is contained in 44 CFR § 206.228 Allowable Costs. Rates for equipment not listed will be furnished by FEMA upon request. Any appeals shall be in accordance with 44 CFR § 206.206 Appeals.

 

Download Past Schedules

2017 rates 2019 rates

2021 rates

2023 Rates

## Search the 2025 Schedule of Equipment Rates

These rates are applicable to major disaster and emergencies declared by the President on or after July 1, 2025.

Download the 2025 Schedule of Equipment Rates

| Cost Code | Equipment | Manufacturer | Specification | Capacity or Size | HP | Notes | Unit | 2025 Rates |
| 8687 | Truck, Fire, Articulating Boom | 55' or 61' reach (16.76m or 18.59m) | Flow Capacity 1,000 gpm (3,785 L/m) Hosebed Capacity Varies depending on configuration Ladder Complement Minimum of 48' Ladder Reach 55' or 61' (16.76m or 18.59m) Vertical / 45'5" or 51' (13.84m or 15.55m) Horizontal Operating Range -5 to 85 Payload Capacity 500 lb dry / 250 lb wet Pump Range Waterous, Hale, Darley Midship, PTO Tank Varies depending on configuration Wind or Ice Ratings Up to 20 mph (32km/hr) winds and 1/4" (.64cm) of ice | | 500 | | hour | $260.51 |
| 8688 | Truck, Fire, Tractor Ladder | 107' Heavy-Duty Tiller Aerial Ladder | Flow Capacity 1,500 gpm Hosebed Capacity 1,000' of 5" Ladder Complement Up to 250' (depending on configuration) Ladder Reach 107' Vertical / 100' Horizontal Operating Range -10 to 77 Payload Capacity 750 lb dry / 500 lb wet Pump Range Waterous, Hale, Darley Midship, PTO Tank Up to 300 gallons Wind or Ice Ratings Up to 50 mph winds and 1/4" of ice | | 500 | | | $289.13 |
| 8689 | Truck, Fire, Support Water Tender S1 | International HV 613 with an International A-26 engine, 450 HP, and 1750 lb.ft of torque. | | Tank Min Capacity (Gal): 4000 Pump Min Flow (GPM): 300 PSI: 50 Max Refill Time (Mins): 30 | 450 | | hour | $116.08 |
| 8690 | Truck, Fire, Support Water Tender S2 | F-L M2 106, 360EV HP, 2 Door, Single Axl | | Tank Min Capacity (Gal): 2500 Pump Min Flow (GPM): 200 PSI: 50 Max Refill Time (Mins): 20 | 360 | | hour | $99.79 |
| 8691 | Truck, Fire, Support Water Tender S3 | F-L M2 106, 360EV HP, 2 Door, Single Axl | | Tank Min Capacity (Gal): 1000 Pump Min Flow (GPM): 200 PSI: 50 Max Refill Time (Mins): 15 | 360 | | hour | $107.70 |
| 8692 | Truck, Fire, Tactical Water Tender T1 | INTL HV 507 SFA | | Tank Min Capacity (Gal): 2000 Pump Min Flow (GPM): 250 PSI: 150 | 350 | | hour | $98.04 |
| 8693 | Truck, Fire, Tactical Water Tender T2 | INTL HV 507 SFA | | Tank Min Capacity (Gal): 1000 Pump Min Flow (GPM): 250 PSI: 150 | 350 | | hour | $97.76 |
| 8700 | Truck, Flatbed | Miscellaneous 4X2 15KGVW DSL | | | 200 | | hour | $33.37 |
| 8701 | Truck, Flatbed | Miscellaneous 4X2 25KGVW GAS | | | 275 | | hour | $50.90 |
| 8701.1 | Truck, Flatbed | Miscellaneous 4X2 25KGVW DSL | | | 200 | | hour | $33.69 |
| 8702 | Truck, Flatbed | Miscellaneous 4X2 30KGVW DSL | | | 217 | | hour | $43.00 |
| 8703 | Truck, Flatbed | Miscellaneous 6X4 45KGVW DSL | | | 380 | | hour | $65.09 |
| 8708 | Trailer, semi | 48ft spread axle flatbed | | | | | hour | $10.38 |
| 8709 | Trailer, semi | Enclosed 48ft, 2 axle trailer | | | | | hour | $11.57 |
| 8710 | Trailer, semi | | | | | | hour | $11.17 |
| 8711 | Flat bed utility trailer | Non-Tilt Deck Utility Trailers - TOW 2 1 6 | | | NA | | hour | $2.88 |
| 8711.1 | Sewer Camera Inspection Truck | 2005 FORD Sewer Inspection Trucks, Reefer/Refrigerated Truck, Cutaway-Cube Van - E450 | | | | | hour | $16.71 |
| 8711.2 | Sewer Inspection Camera | Aries Pathfinder System Control Center, Work Station | | | | | hour | $98.03 |
| 8712 | Cleaner, Sewer/Catch Basin | Mongoose Jetters Model 123 Sewer Jetter (12 GPM @ 3000 PSI) | Pump: 12 GPM @ 3000 PSI Tank Capacity: 150 Gallons Engine: 24 hp 690 cc Gas Hose Reel: 3/8" Hose, 250' Capacity Axle: 3,500lbs (single axle trailer) | Pump: 12 GPM @ 3000 PSI Tank Capacity: 150 Gallons | 24 | | hour | $19.58 |
| 8713 | Cleaner, Sewer/Catch Basin | Mongoose Jetters Model 254 Sewer Jetter (25 GPM @ 4000 PSI) | Tank Capacity: 300-600 gallons Pump: 25 GPM @ 4000 PSI Engine: 74hp Tier IV Turbo Diesel Engine Hose Reel: 5/8" Hose, 500' Capacity Axle: 7,000lbs | Pump: 25 GPM @ 4000 PSI Tank Capacity: 300-600 gallons | 74 | | hour | $25.32 |
| 8714 | Combined Sewer Cleaning | Vacuum Truck 800 Gal Spoils/400 Gal Water | | | 74 | | hour | $29.07 |
| 8714.1 | Vector Combine Vaccum Truck | 2014 International 7500 Vactor 2100 Plus Hydro Excavation Vacuum Truck, | 12 CY Debris Tank 8" Suction Hose | 13 CY Debris Tank 8" Suction Hose | 310 | | hour | $99.66 |
| 8714.2 | Combined Sewer Cleaning | | 1500 gal Water | 1500 gal Water | N/A | | hour | $23.75 |
| 8714.3 | Combined Sewer Cleaning | | 500-1500 gals | 500-1500 gals | N/A | | hour | $16.44 |
| 8714.4 | Combined Sewer Cleaning (Accessory | Miscellaneous SH-4/25 | 4-IN | 4-IN | 0 | 50-FT of 4-IN hoses @$0.60/Hour for Vac Truck | hour | $0.27 |
| 8715 | Truck, Hydro Vac | 500-gal debris tank; | | | N/A | | hour | $21.27 |
| 8716 | Leaf Vac | XtremeVac DCL800SM Series Leaf Loader Truck Mounted | Aux Engine is a 74 HP John Deere T4F Diesel Engine. Engine Remote Oil Drain. DCL Bottom Exhaust for Box. Wireless CAN Bridge Between Cab and HL Body. 28" Suction Impeller with (6) 3/8" Thick T-1 Steel Blades, 3 Groove Power Band Belt Driven, 40 Gallon Poly Fuel Tank. Electronic Engine Controls with Safety Shut Downs. 13" Clutch Assembly with 2.25" PTO Shaft and Safety Engagement. 16" x 144" Urethane Suction Hose with Steel Nozzle. 1/4" Thick Skid Deck with Channel Members on Ends. | 25 CY | N/A | 2024 ODB DCL800SM25HL | hour | $64.60 |
| 8719 | Litter Picker | Miscellaneous TRAC MOUNT ENG DRIV | Broom Length 72.0 in | | 18 | | hour | $8.27 |
| 8720 | Truck, Dump | 2026 FREIGHTLINER BUSINESS CLASS M2 106 | 7-CY | 7-CY | 330 | | hour | $55.28 |
| 8721 | Truck, Dump | 2026 FREIGHTLINER BUSINESS CLASS M2 106 | 9-CY | 9-CY | 350 | | hour | $100.63 |
| 8722 | Truck, Dump | 2025 FREIGHTLINER BUSINESS CLASS M2 106 PLUS | 12-CY | 12-CY | 350 | | hour | $120.74 |
| 8723 | Truck, Dump | 2025 FREIGHTLINER 108SD | 14-CY | 14-CY | 470 | | hour | $122.94 |
| 8724 | Truck, Dump | 2025 FREIGHTLINER 114SD PLUS | 18 CY | 18 CY | 525 | | Hour | $147.99 |
| 8730 | Truck, Garbage | | | | 255 | | Hour | $62.97 |
| 8731 | Truck, Garbage | | | | 325 | | Hour | $69.44 |
| 8733 | E=BAM Services | | | | | | Hour | $3.60 |
| 8734 | Attentuator, Safety | Scorpion II TMA Truck Mounted Attenuator | Weight1,975 lbs (900kg)LengthTravel/Storage 2' 5" (.74 m)Deployed 12' 10" (3.93 m)Width8' (2.45 m)HeightTravel/Storage 10' 6" (3.05 m)Deployed 12" 1" (305 mm 24.4 mm) | | | | Hour | $4.53 |
| 8735 | Truck, Attenuator | 2025 MACK MD6 | 2025 Mack MD64 with Curry Supply Crash Attenuator Body. Truck equipped with Cummins ISB6.7 300HP, Allison 2500 RDS Automatic 6speed Transmission. | | 300 | | Hour | $4.90 |
| 8736 | Truck, Tow | FREIGHTLINER Rollback Tow Truck, Roll Off Truck, Flatbed Truck - BUSINESS CLASS M2 106 | FLOOR CAPACITY 20,000LBS WINCH CAPACITY 15,000LBS TOW BAR LIFT 8,000LBS | GVW TOTAL 33,000LBS | 350 | | Hour | $51.83 |
| 8744 | Van, Custom | 2025 Sprinter Cab Chassis | Payload Capacity:6,345 to 7,418 lbs Seating Capacity:2-3 Max Available GVWR:11,030 lbs Base Curb Weight:4,685 lbs Max Available GCWR:15,249 lbs Max Towing:7,500 lbs [1] | Wheelbase:170 in | 211 | | Hour | $33.29 |
| 8745 | Van. Cargo | 2025 Sprinter Cargo Van | Payload Capacity:6,250 lbs Seating Capacity:2-3 Cargo Volume:469 cu ft Max Available GVWR:12,125 lbs Max Towing:7,500 lbs | 170" Extended Wheelbase High Roof | 211 | | Hour | $35.13 |
| 8747 | Van, Passenger | 2025 Sprinter Passenger Van | Payload Capacity:3,109 lbs Seating Capacity:15 Cargo Volume:117 cu ft Max Available GVWR:9,480 lbs | 15 Passenger | 211 | | Hour | $27.90 |
| 8748 | Van, Small Cargo | 2025 Metris Cargo Van | Payload Capacity:2,150 lbs Seating Capacity:2 Towing Capacity:5,000 lbs [1] Cargo Volume:199.2 | Wheelbase:135 in | 208 | | Hour | $23.42 |
| 8749 | Van, Small Passenger | 2025 Metris Passenger Van | Payload Capacity:1,720 lbs Seating Capacity:8 Cargo Volume:37.43 Cu. Ft | 8 Passenger | 208 | | Hour | $23.86 |
| 8750 | Vehicle, Small | | | | | | Hour | $8.22 |
| 8753 | Vehicle, Recreational | | | | | | Hour | $5.13 |
| 8754 | Motor Coach | GVW=50534, 56 Passenger + 1-Driver | | | 430 | | Hour | $82.69 |
| 8755 | Golf Cart | | | | | | Hour | $6.68 |
| 8761 | Vibrator, Concrete | Miscellaneous 2-7/21 - Motor-in-Head | | | 2 | Added from EW | Hour | $1.79 |
| 8770 | Welder, Portable | Miller Bobcat 230 (Kohler) Engine Driven Welder 907824 | Output Range DC stick 20230 A MIG/flux-cored 1425 V Auxiliary Power Output Rated at 104F (40C) 11,000 watts peak, 9,500 watts continuous | | | | Hour | $5.33 |
| 8771 | Welder, Portable | Miscellaneous DIESEL 300 DC-CC | | 33 | 33 | Added from EW | Hour | $10.98 |
| 8772 | Welder, Portable | Miller Big Blue 600 Pro (Kubota) Deluxe w/ArcReach 907737001 | Output Range DC stick/TIG 20600 A DC MIG/FCAW 1550 V Auxiliary Output Rated at 104F (40C) 3-phase 27,000 watts peak, 20,000 watts continuous 1-phase 15,000 watts peak, 12,000 watts continuous | | | | Hour | $19.79 |
| 8773 | Welder, Portable | Miller Big Blue 800 Duo Air Pak (Deutz) Diesel Welder w/WIC & ArcReach | Output Range Single weld mode CC: 40800 A, CV: 1550 V Dual weld mode CC: 20400 A, CV: 1550 V Auxiliary Output Rated at 104F (40C) 3-phase 27,000 watts peak, 20,000 watts continuous 1-phase 15,000 watts peak, 12,000 watts continuous | | | | Hour | $20.17 |
| 8780 | Truck, Water | Miscellaneous DSL 4X2 2500 | | 2500 | 150 | Added from EW | Hour | $35.05 |
| 8781 | Truck, Water | Miscellaneous BB2 DSL 6X4 4000 (disc. 1994) | | 4000 | 250 | Added from EW | Hour | $53.72 |
| 8789 | Truck, Tractor | FREIGHTLINER BUSINESS CLASS M2 106 PLUS 4X2 | | 26,001 - 33,000 pounds | to 350 | | Hour | $75.13 |
| 8790 | Truck, Tractor | FREIGHTLINER BUSINESS CLASS M2 106 6X4 | | 33,001 to 52,000 pounds | to 450 | | Hour | $91.10 |
| 8793 | Truck | Ford F-450 Cutaway Truck (disc. 2018) | | 390 | 390 | Added from EW for 2022 | Hour | $66.13 |
| 8794 | Truck, Freight | Dodge Ram Chassis 5500 | | 275 | 275 | Added from EW for 2022 | Hour | $27.84 |
| 8795 | Truck, backhoe carrier | Miscellaneous 4X2 25KGVW DSL | | 380 | 380 | Added from EW for 2022 | Hour | $34.28 |
| 8796 | Truck, freight | Enclosed w/lift gate. Heavy duty, class 7 | | | | | Hour | $36.72 |
| 8797 | Truck, freight | M2-106 4x2 Diesel (disc. 2015) | | | 250 | | Hour | $54.34 |
| 8800 | Truck, Pickup | Any Size Pick Up Per Mile cost | | | | | Mile | $0.70 |
| 8801 | Truck, Pickup | Miscellaneous 4X2 1/2 160 CONV DSL | | | 160 | Added from EW | Hour | $17.51 |
| 8802 | Truck, Pickup | 4X2 1 195 CONV DSL | | | 195 | Added from EW | Hour | $17.45 |
| 8803 | Truck, Pickup | 4X2 1 1/4 360 CONV DSL | | | 360 | Added from EW | Hour | $27.82 |
| 8804 | Truck, Pickup | 4X2 1 1/2 300 CONV DIESEL | | | 310 | Added from EW | Hour | $29.09 |
| 8805 | Truck, Pickup | Miscellaneous 4X2 1 3/4 360 CONV DSL | | | 360 | Added from EW. Was 300-HP. | Hour | $34.02 |
| 8806 | Truck, Pickup | Miscellaneous 4X2 3/4 160 CONV DSL | | | 160 | Added from EW | Hour | $14.48 |
| 8807 | Truck, Pickup | Miscellaneous 4X4 3/4 285 CREW GAS | | | 285 | Added from EW | Hour | $18.71 |
| 8808 | Truck, Pickup | 4X4 1 340 CREW DSL | | | 340 | Added from EW | Hour | $31.54 |
| 8809 | Truck, Pickup | 4X4 1 1/4 360 CREW GAS | | | 360 | Added from EW | Hour | $35.27 |
| 8810 | Truck, Pickup | 4X4 1 1/2 362 CREW GAS | | | 362 | Added from EW | Hour | $35.75 |
| 8811 | Truck, Pickup | 4X4 1 3/4 362 CREW GAS | | | 362 | Added from EW | Hour | $34.59 |
| 8822 | Truck, Loader | 2023 BARKO 495B | CSI 264 Ultra Delimber, 48" Rotobec Grapple, Pitts Hydraulic Trailer, Ground Saw Ready, | | | | Hour | $75.83 |
| 8823 | Chipper- Wood Recycler | 2021 BANDIT 2460T BEAST RECYCLER | | | 560 | | Hour | $186.25 |
| 8824 | Skidder | John Deere 640L-II (2020) | | | 237 | | Hour | $114.41 |
| 8825 | Skidder | John Deere 948L-II (2020) | | | 300 | | Hour | $136.80 |
| 8840 | Truck, service | | | | | | Hour | $46.29 |
| 8841 | Truck, fuel | Miscellaneous BB2 Gas 4X2 2000 | | | | | Hour | $42.54 |
| 8842 | Mobile Command Center Trailer | | | | | | Hour | $182.51 |
| 8843 | Mobile Command Center Vehicle | GVWR: 54600 lbs | | | up to 550 | | Hour | $333.86 |
| 8844 | Mobile Communications Trailer | Multi-purpose Mobile Mast System | Tower trailer with generator, antena and station repeater. | Up to 60 foot height | | | | $13.46 |
| 8870 | Light Tower | Generac MLT4080 8kW Mobile LED Light Tower | 25 FT | 25 FT | to 13 | Added from EW | Hour | $8.71 |
| 8871 | Light Tower | Generac MLT4200 20kW Mobile Light Tower | 25 FT | 25 FT | to 40 | Added from EW | Hour | $5.49 |
| 8872 | Sand Bagger Machine | Ultimate Bagger Sandbag Filling Machine | 1200 Bags per Hour Filling and Sealing | 2 Cubic Yard Hopper | | | Hour | $42.95 |
| 8900 | Helicopter | 2018 Bell 407 GXI EMS- Ambulance | Ambulace | | | | Hour | $2,795.22 |
| 8901 | Helicopter | 2018 Bell 407GXi | 7 Place Corporate Interior (2) Crew & (5) Passengers | 7 Place Corporate Interior (2) Crew & (5) Passengers | | | Hour | $1,958.83 |
| 8902 | Helicopter | Leonardo/Agusta Westland AW169 | 1 person crew and can transport up to 8 passengers | 1 person crew and can transport up to 8 passengers | | | Hour | $4,157.36 |
| 8903 | Helicopter | Sikorsky S-92 | 2 person crew and can transport up to 22 passengers. | 2 person crew and can transport up to 22 passengers. | | | Hour | $6,430.46 |
| 8904 | Helicopter | Sikorsky S-70M Firehawk helicopter | 1,000-gallon belly tank and other firefighting gear. | 1,000-gallon belly tank and other firefighting gear. | | | Hour | $10,310.57 |
| 8906 | Fixed wing | Cessna Turbo Stationair HD | Maximum Range 703 nm Maximum Cruise Speed 161 ktas Maximum Passengers 6 Maximum Range 703 NM | 6 Passenger | | | Hour | $661.42 |
| 8907 | Fixed wing | Cessna Caravan EX | Maximum Cruise Speed 186 ktas Maximum Passengers 10-14 Maximum Range 1,070 NM | 10 to 14 Passengers | | | Hour | $1,530.01 |
| 8914 | Fixed wing | Cessna SkyCourier (Passenger) | Maximum Cruise Speed 210 ktas Maximum Passengers 19 Maximum Range 920 NM | 19 Passenger | | | Hour | $2,788.54 |
| 8915 | Fixed wing | Bombardier Challenger 3500 (Jet) | Maximum Cruise Speed 882 KM/H Maximum Passengers 10 Maximum Range 3,400 NM | 10 Passenger | | | Hour | $7,890.84 |
| 8916 | Fixed wing | Bombardier Global 8000 | Maximum Cruise Speed 940 KM/H Maximum Passengers 19 Maximum Range 8,000 NM | 19 Passenger | | | Hour | $9,604.18 |
| 8943 | Wire Puller Machine | UD-50 Underground Puller | Engine 8-10 Hp TBA Fuel Capacity 1.25 gallons Pulling Rope 3/8 in. dia. Steel Cable Reel Capacity 1,500 ft. (3/8 in. dia.) Skid Frame Construction Steel tubing, continuous-weld Wheel Configuration & Tires 14 x 5.5 Drop Center; ST205-75R 14BC Brakes, trailer Electric, Standard | | | | Hour | $23.24 |
| 8944 | Wire Tensioning Machine | HOGG DAVIS OLT-38 BULLWHEEL TENSIONER | Maximum Continuous Tension of 5,000 lbs @ 4 MPH Bullwheel Diameter 38in Reel Capacity 54in W x 90in D Maximum Reel Weight 8,000 lbs. | | | | Hour | $18.33 |

Last updated April 8, 2026
